"car_id","timestamp","province","city"
"000296635f69235776b63d06401b3bbd",2025-09-25 17:09:00.305000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:19:13.311000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:19:34.631000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:22:13.260000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:24:54.912000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:27:08.129000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:40:21.673000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:41:28.976000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:50:07.379000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:55:37.972000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:56:04.131000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 17:57:21.866000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 18:02:50.749000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 18:03:14.942000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 18:04:24.369000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 18:04:52.968000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-25 18:05:13.114000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-25 22:05:16.414000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 02:05:18.973000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 06:05:22.201000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 06:55:12.032000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 10:55:14.994000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 11:08:02,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 11:09:08.462000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 11:53:34,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 12:06:35.136000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:14:38.499000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:19:24.324000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:21:48.294000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:33:10.063000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:34:51.742000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:35:35.496000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:44:01.625000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:47:30.056000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 13:54:02.396000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:00:36.358000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:02:04.341000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:28:06.943000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:34:06.488000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:38:43.514000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:55:40.124000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 14:57:07.353000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:19:44.993000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:22:32.048000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:23:10.263000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:25:16.323000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:27:10.141000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:33:49.844000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:54:31.899000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 15:54:57.578000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:02:29.222000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:03:12.644000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:08:56.244000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:09:05.800000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:11:59.432000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:12:20.249000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:17:58.013000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:18:52.777000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:21:55.404000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:40:43.360000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 16:46:29.205000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:19:52.045000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:24:54.583000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:27:03.210000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:38:21.920000000,کردستان,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:41:23.630000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:41:38.150000000,کرمانشاه,
"000296635f69235776b63d06401b3bbd",2025-09-26 17:41:43.841000000,کردستان,
